mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
239.761,489.264,1.15369e+08,1.93602e-05,0.707679,1.87104e+07,0.831192,0.847534,0.690063
250.739,489.424,4.82323e+07,2.43006e-05,0.321845,6.15774e+06,0.831112,0.930613,0.727165
252.124,423.674,3.66288e+07,1.94226e-05,0.222342,2.36983e+06,0.834502,0.985398,0.79287
252.737,489.285,2.12648e+07,3.56647e-05,0.200742,2.55605e+06,0.82206,0.99952,0.735107
253.026,396.512,5.22137e+07,5.78906e-05,0.0455191,935923,0.83253,0.995524,0.839352
253.049,369.812,2.72152e+07,1.97236e-05,0.356638,5.20896e+06,0.84111,0.728016,0.658255
254.041,369.027,1.23961e+07,4.8618e-05,0.182534,978095,0.829645,0.982003,0.778324
255.233,739.578,6.68187e+07,1.40888e-05,-3.8249,2.51796e+07,0.835168,0.986985,0.456757
255.233,470.685,1.26479e+07,4.41122e-05,0.087228,835388,0.822372,0.979709,0.791494
255.233,393.229,2.53918e+07,3.00663e-05,0.832226,2.00977e+06,0.818536,0.967498,0.77807
256.144,423.393,5.22788e+07,6.16083e-05,0.144619,9.40264e+06,0.833863,0.72267,0.670855
256.736,489.319,1.50439e+08,1.50191e-05,0.623119,2.39209e+07,0.832651,0.783107,0.693498
256.993,133.265,5.84942e+07,1.90537e-05,0.23793,7.75601e+06,0.833171,0.950575,0.721908
257.1,112.782,8.24205e+07,6.27102e-05,0.255435,7.93178e+06,0.827935,0.918076,0.760343
258.733,489.253,4.04025e+08,2.51776e-05,0.332087,4.7784e+07,0.83301,0.992804,0.737155
259.994,133.505,5.64291e+06,3.21433e-05,0.271446,412152,0.838067,0.696859,0.784351
261.731,489.326,2.57213e+07,3.61631e-05,0.506669,4.17724e+06,0.828848,0.879488,0.689821
262.009,133.838,3.23036e+08,4.47347e-05,0.953677,3.68709e+07,0.829207,0.877644,0.741528
262.728,488.855,2.8653e+08,2.36952e-05,0.312285,3.38669e+07,0.836306,0.985989,0.737232
263.129,485.996,6.61301e+07,1.73329e-05,1.12056,8.45518e+06,0.829478,0.869818,0.726964
263.729,488.944,1.08959e+07,6.16654e-05,0.275003,4.04892e+06,0.828514,0.999066,0.462262
264.726,489.34,1.15046e+08,3.25542e-05,0.35643,9.5898e+06,0.829423,0.873099,0.773728
266.096,416.22,1.03828e+08,4.56452e-05,0.252395,1.07585e+07,0.838593,0.747371,0.752612
269.068,420.973,9.4359e+06,4.8292e-05,0.31749,1.11782e+06,0.827204,0.646008,0.736949
270.185,335.898,2.48746e+08,3.07018e-05,0.257085,8.57424e+07,0.833948,0.99575,0.490834
270.903,349.635,1.63265e+07,6.6897e-05,0.602382,1.69358e+06,0.83446,0.669355,0.752493
273.044,541.933,2.06548e+07,3.13111e-05,1.29728,2.79455e+06,0.83029,0.927751,0.719016
273.108,418.162,1.4587e+07,3.0991e-05,0.132246,1.01379e+06,0.840362,0.968258,0.787974
275.049,606.158,1.61914e+08,2.42443e-05,1.61034,2.26007e+07,0.825349,0.959987,0.714424
275.063,350.911,8.43387e+07,1.55085e-05,0.206303,7.68335e+06,0.837477,0.914916,0.765695
275.133,418.799,6.13296e+07,0.000123101,0.250675,7.60155e+06,0.745343,0.713213,0.731128
279.048,381.935,1.04649e+07,4.21125e-05,1.13083,1.72255e+06,0.82794,0.722145,0.687437
279.884,363.959,3.03363e+06,5.55388e-05,0.446826,367203,0.832442,0.998569,0.734212
280.255,136.976,4.31055e+07,4.08956e-05,1.52513,6.72837e+06,0.823921,0.800523,0.696652
283.264,355.858,2.53239e+07,3.99994e-05,0.818973,8.06579e+06,0.82344,0.979497,0.519043
244.291,157.261,7.01262e+07,2.79055e-05,0.0558172,1.30499e+06,0.827015,0.872398,0.838689
287.706,488.836,5.73898e+07,2.92184e-05,0.437235,4.22842e+06,0.835604,0.787557,0.783695
292.166,387.819,6.44153e+07,6.0103e-05,0.0180285,403666,0.834195,0.874361,0.850556
292.264,135.528,2.06961e+08,4.16859e-05,3.71449,5.00071e+07,0.827483,0.964349,0.603138
299.202,33.2099,1.12168e+07,6.04725e-05,0.658294,2.1381e+06,0.829861,0.977509,0.659111
299.202,158.147,8.23725e+06,6.20752e-05,1.05272,1.5444e+06,0.826304,0.988222,0.662527
299.202,604.486,8.56269e+06,5.72967e-05,0.429032,622121,0.838486,0.96538,0.784745
301.889,489.592,1.82458e+07,6.26991e-05,0.674844,5.31233e+06,0.801311,0.99823,0.548803
301.996,130.541,3.52072e+08,3.36458e-05,0.191225,3.06242e+07,0.838979,0.71333,0.769973
304.681,489.087,7.54704e+07,2.72928e-05,0.155272,1.96576e+07,0.834212,0.797508,0.582429
307.926,346.348,9.43938e+06,4.61583e-05,0.534261,989647,0.820845,0.995429,0.751327
317.205,125.826,7.81756e+07,4.91771e-05,0.546266,1.1846e+07,0.819962,0.775173,0.701574
319.908,107.885,8.10673e+06,6.00269e-05,0.988077,924666,0.826736,0.99875,0.74161
319.908,116.794,3.37384e+06,0.000134381,1.92553,1.11978e+06,0.831001,0.998645,0.504574
320.207,370.799,1.00184e+07,4.45303e-05,0.37083,2.94584e+06,0.831402,0.983913,0.545648
320.976,370.825,1.5182e+07,8.6377e-05,0.436633,975408,0.824254,0.996184,0.793329
325.985,138.757,5.75042e+08,3.64641e-05,0.383959,1.10611e+08,0.806889,0.862906,0.657213
327.273,115.179,3.68945e+08,3.59335e-05,0.540566,7.35618e+07,0.830234,0.868084,0.649519
327.982,138.588,3.46802e+08,3.54145e-05,0.694807,4.5638e+07,0.839501,0.918956,0.722974
328.988,126.067,1.42562e+08,7.22428e-05,0.168391,1.45976e+07,0.828208,0.820333,0.753897
333.062,514.512,1.19519e+07,5.63887e-05,0.934682,1.57848e+06,0.834205,0.915123,0.722469
335.033,418.524,5.53973e+06,6.64828e-05,0.382981,405252,0.804579,0.995769,0.784234
339.232,256.623,2.50225e+08,8.1018e-05,-0.483506,2.64615e+07,0.836673,0.981842,0.750372
339.232,201.081,8.50857e+09,5.03026e-05,-0.982458,1.44353e+09,0.835903,0.961964,0.681953
339.233,708.698,2.12972e+07,8.65674e-05,-3.3652,2.22386e+06,0.829024,0.945436,0.75177
339.233,304.232,2.01257e+08,8.15035e-05,-17.1707,1.07896e+08,0.832313,0.95213,0.302413
346.166,416.599,1.42278e+07,6.33528e-05,0.810903,1.31313e+06,0.831194,0.995362,0.764454
346.963,138.934,1.57998e+08,4.23117e-05,0.378963,2.71053e+07,0.834075,0.989443,0.67989
350.082,386.375,6.00125e+06,8.7741e-05,0.572784,820415,0.820528,0.81722,0.717508
350.926,338.678,1.67225e+07,7.25539e-05,0.617507,2.7617e+06,0.833513,0.925187,0.686845
352.177,402.528,1.87073e+07,5.36629e-05,0.320436,2.48876e+06,0.817441,0.85792,0.721435
352.24,137.608,1.38939e+06,5.85815e-05,0.441255,249692,0.825562,0.921097,0.67101
354.272,123.673,2.63652e+07,9.62919e-05,0.342206,2.7578e+06,0.81391,0.861059,0.751581
357.027,341.723,9.05721e+07,5.40885e-05,0.46966,7.13368e+06,0.831284,0.742082,0.778469
358.02,342.212,1.68694e+08,1.89164e-05,0.38876,2.33075e+07,0.820129,0.883225,0.715947
358.953,623.982,1.15463e+07,6.59223e-05,1.30221,1.43386e+06,0.835895,0.907463,0.730875
362.031,352.095,4.02149e+07,1.95035e-05,0.441127,5.91528e+06,0.835452,0.986628,0.706358
366.223,228.32,1.82589e+07,0.000165047,-0.184364,1.6139e+06,0.835952,0.788266,0.768513
367.033,579.971,3.85648e+07,6.12151e-05,0.778899,4.54129e+06,0.832018,0.817913,0.737698
